"target_code","target_name","horizon","model","model_family","loss","n_evaluation","net_loss_reduction_vs_RW","gross_positive_loss_reduction","gross_loss_deterioration","share_months_better_than_RW","top_months","top_months_share_of_positive_reduction","top_months_share_of_deterioration"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ensemble_InvRMSE","Ensemble","AE",88,0.0703323922006317,0.111744019336302,0.0414116271356707,0.613636363636364,12,0.548673321236371,0.765337175535978
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Factor","Factor","AE",88,0.068442706448139,0.116212438730044,0.0477697322819053,0.579545454545455,12,0.570549051584642,0.759600650383866
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"RandomForest","Tree","AE",88,0.0622549136123747,0.112652095849371,0.0503971822369959,0.636363636363636,12,0.545086289075218,0.731008793840041
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"BorutaRF","FeatureSelection+Tree","AE",88,0.0498093171003915,0.103131257180064,0.0533219400796729,0.590909090909091,12,0.563312560150885,0.722107191509409
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"RW","Baseline","AE",88,0,0,0,0,12,,
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ensemble_Median","Ensemble","SE",88,0.000658805154079869,0.000991962306247098,0.000333157152167229,0.625,12,0.756602355900473,0.910803578188564
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ridge","Regularization","SE",88,0.000650436535106381,0.000992050360987467,0.000341613825881086,0.602272727272727,12,0.754259883403354,0.906926847028246
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"LASSO","Regularization","SE",88,0.000650153766170294,0.000981441716698266,0.000331287950527972,0.647727272727273,12,0.763749434261815,0.903752359101645
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"XGBoost","Boosting","SE",88,0.000648465295645838,0.000993305164950554,0.000344839869304716,0.636363636363636,12,0.762427434698748,0.914204942025518
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ensemble_Mean","Ensemble","SE",88,0.00064479203676908,0.00095064324474909,0.00030585120798001,0.613636363636364,12,0.754495648844347,0.907199278653768
